temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,relative_humidity_2m_mean,soil_temperature_0_to_7cm_mean,평수,실평수,진열평수,창고,계약면적(㎡),매장인원,입고도우미PO,일평균매출,일평균물동량,형태,매장명,지역,위도,경도,매장,발생일시,incident_id,label
-10.1,0.0,0.0,0.0,0.0,19.9,36,0.7,353.0,306.0,277.0,47.0,1411.52,8.3,0.8,10755517.857142856,215.0,직영점,양산터미널점,동부산팀,35.3352,129.0273,10850.0,2025-01-10,NEG-10850.0-2025-01-10,0
20.0,28.6,0.0,0.0,0.0,13.0,76,23.5,322.0,253.0,231.0,69.0,1065.48,14.6,0.8,16432517.857142856,329.0,직영점,논산내동점,대전팀,36.1842,127.0978,10851.0,2025-09-10,NEG-10851.0-2025-09-10,0
21.8,27.1,11.4,0.0,11.4,7.7,93,24.4,322.0,253.0,231.0,69.0,1065.48,14.6,0.8,16432517.857142856,329.0,직영점,논산내동점,대전팀,36.1842,127.0978,10851.0,2025-08-11,NEG-10851.0-2025-08-11,0
24.0,34.5,0.0,0.0,0.0,15.7,77,30.4,322.0,253.0,231.0,69.0,1065.48,14.6,0.8,16432517.857142856,329.0,직영점,논산내동점,대전팀,36.1842,127.0978,10851.0,2025-08-23,NEG-10851.0-2025-08-23,0
10.3,16.4,0.2,0.0,0.2,13.0,82,12.4,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-11-08,NEG-10857.0-2025-11-08,0
16.2,25.1,0.0,0.0,0.0,7.6,87,20.9,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-10-02,NEG-10857.0-2025-10-02,0
-0.9,9.0,0.0,0.0,0.0,13.4,84,2.0,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-12-10,NEG-10857.0-2025-12-10,0
0.9,13.3,0.0,0.0,0.0,11.6,66,7.9,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-11-11,NEG-10857.0-2025-11-11,0
16.6,25.0,0.8,0.0,0.8,19.4,73,23.4,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-06-07,NEG-10857.0-2025-06-07,0
-8.2,-3.6,0.0,0.0,0.0,24.3,42,-0.1,452.0,420.0,391.0,32.0,2090.1,15.6,0.8,23684982.14285714,474.0,직영점,인천운서동점,남인천팀,37.4948,126.4931,10857.0,2025-12-03,NEG-10857.0-2025-12-03,0
